external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Itm2c	275	46	106	91	181	139	72	104
Gpr55	45	16	23	22	22	26	7	10
Spata3	33	10	30	17	30	22	15	32
Psmd1	588	28	71	52	114	75	54	78
Htr2b	48	40	54	32	86	62	24	9
Armc9	374	43	132	95	251	174	95	66
B3gnt7	102	20	27	30	34	34	13	8
Ncl	946	68	143	88	229	128	91	54
Nmur1	43	17	25	19	19	25	8	5
Tex44	273	48	78	51	48	35	13	13
Ptma	1812	381	717	638	1211	871	415	449
Cops7b	640	40	80	73	115	69	31	58
Pde6d	63	20	25	12	26	21	10	9
Nppc	164	15	57	50	56	50	29	24
Dis3l2	509	46	137	93	169	136	72	163
Alppl2	57	10	30	25	20	15	8	3
Alpi	86	8	34	23	25	22	7	7
Akp3	56	17	25	21	21	17	5	4
Ecel1	30	5	14	11	16	7	5	1
Ecel1	12	6	30	15	4	6	2	1
Prss56	90	22	30	22	36	23	13	6
Chrnd	57	12	25	19	27	19	8	3
Chrng	85	28	39	25	21	19	7	6
Eif4e2	0	0	0	0	0	0	0	0
Eif4e2	0	0	0	0	0	0	0	0
Eif4e2	28	9	7	9	24	13	4	4
Efhd1	150	24	55	34	44	27	6	14
Gigyf2	234	26	86	56	129	71	34	47
Kcnj13	81	22	53	28	46	23	14	6
Snorc	58	11	20	12	9	16	3	5
Ngef	149	15	54	41	57	43	33	82
Neu2	42	15	30	15	32	14	5	6
Ngef	47	14	54	62	78	61	8	10
Neu2	69	19	37	22	32	23	14	38
Neu2	45	16	25	28	42	36	12	110
Inpp5d	86	18	31	27	44	31	6	15
Atg16l1	157	28	55	39	115	85	45	44
Sag	51	22	35	23	25	23	8	18
Dgkd	191	20	53	28	63	40	26	46
Usp40	305	22	57	57	112	78	40	26
Ugt1a10	24	5	11	13	21	9	6	1
Ugt1a9	24	14	26	10	17	8	3	1
Ugt1a7c	56	14	33	15	26	8	6	23
Ugt1a6b	41	12	32	26	18	20	8	6
Ugt1a6a	139	23	81	65	83	64	34	20
Ugt1a5	26	9	19	23	29	10	7	2
Ugt1a2	50	13	33	28	30	26	14	4
Dnajb3	154	29	45	48	59	41	18	11
Ugt1a1	47	40	76	47	57	60	22	12
Mroh2a	79	62	108	97	118	98	37	21
Hjurp	56	11	16	16	25	11	4	3
Hjurp	6	0	4	2	3	4	1	2
Trpm8	94	72	121	92	129	87	42	15
Spp2	87	21	63	52	47	34	27	8
Glrp1	39	18	19	22	29	20	5	12
Arl4c	628	46	146	111	281	166	121	70
Sh3bp4	476	47	126	87	201	125	60	73
Agap1	930	50	140	61	87	58	18	46
Gbx2	69	17	56	50	38	30	12	7
Asb18	61	15	57	41	36	22	12	7
Iqca	8	3	10	1	3	3	1	0
Iqca	5	1	6	3	0	1	0	0
Ackr3	253	34	64	68	113	83	25	24
Cops8	359	38	72	36	103	60	26	40
Col6a3	104	16	36	18	27	14	9	5
Mlph	94	17	46	24	38	25	8	16
Prlh	72	17	35	25	25	24	10	8
